City,Location,Bedrooms,Type of Residency,Monthly Rent,Deposit,Furnished,"Area Rating (Traffic, Noise, etc.)",Cleanliness Rating,Amenities,Proximity to Public Transport,Property Condition Rating,Famous Places Nearby
Jaipur,Mansarovar,1,Apartment,76930,384650,Semi-furnished,6,6,"Parking, Gym, 24x7 Security, Power Backup",754m from Public Transport,6,"Hawa Mahal, City Palace"
Pune,Koregaon Park,1,Apartment,43764,218820,Fully Furnished,9,8,"Power Backup, Swimming Pool",1144m from Public Transport,7,"Aga Khan Palace, FC Road"
Delhi,Connaught Place,4,Independent House,81643,489858,Fully Furnished,6,7,"24x7 Security, Parking, Power Backup",740m from Public Transport,10,"Qutub Minar, Lotus Temple"
Chennai,Anna Nagar,4,Apartment,60648,363888,Semi-furnished,7,4,"Parking, Gym",110m from Public Transport,9,"Vivekananda House, Marina Beach"
Pune,Koregaon Park,4,Villa,94374,377496,Unfurnished,4,6,"Parking, Gym, Power Backup",1376m from Public Transport,6,"Shaniwar Wada, Aga Khan Palace"
Jaipur,C-Scheme,4,Apartment,71591,357955,Semi-furnished,4,7,"Security, Parking, 24x7 Security",269m from Public Transport,7,"Amber Fort, Hawa Mahal"
Ahmedabad,SG Highway,1,Studio,35753,143012,Unfurnished,9,7,"Power Backup, Swimming Pool, Parking, 24x7 Security",879m from Public Transport,7,"Kankaria Lake, Law Garden"
Mumbai,Andheri,3,Studio,16696,66784,Unfurnished,10,8,"Gym, 24x7 Security, Power Backup",1378m from Public Transport,6,"Juhu Beach, Marine Drive"
Ahmedabad,Satellite,2,Villa,94463,566778,Semi-furnished,8,4,"Gym, Swimming Pool, Parking",806m from Public Transport,7,"Sabarmati Ashram, Kankaria Lake"
Pune,Koregaon Park,4,Apartment,66058,330290,Semi-furnished,10,10,"Parking, Power Backup, 24x7 Security",1474m from Public Transport,8,"Aga Khan Palace, FC Road"
Ahmedabad,Satellite,2,Villa,68695,343475,Semi-furnished,9,5,"Gym, Security",1029m from Public Transport,10,"Sabarmati Ashram, Law Garden"
Pune,Hinjewadi,4,Independent House,91630,274890,Unfurnished,7,6,"Power Backup, Parking, Security, Gym",787m from Public Transport,7,"Shaniwar Wada, Aga Khan Palace"
Bangalore,Whitefield,3,Villa,49428,197712,Fully Furnished,4,10,"Power Backup, Gym, Parking",693m from Public Transport,5,"MG Road, Cubbon Park"
Delhi,Rohini,4,Villa,45691,274146,Semi-furnished,5,8,"Security, 24x7 Security, Parking",1048m from Public Transport,8,"Qutub Minar, Lotus Temple"
Chennai,OMR,4,Studio,43550,174200,Semi-furnished,5,6,"Security, Power Backup, Gym, 24x7 Security",1146m from Public Transport,7,"Marina Beach, Kapaleeshwarar Temple"
Ahmedabad,Navrangpura,2,Apartment,99139,594834,Semi-furnished,4,8,"Power Backup, Parking, Security",224m from Public Transport,8,"Kankaria Lake, Sabarmati Ashram"
Chennai,Velachery,2,Apartment,61884,371304,Semi-furnished,10,7,"24x7 Security, Power Backup, Gym, Parking",1136m from Public Transport,8,"Vivekananda House, Kapaleeshwarar Temple"
Ahmedabad,Navrangpura,1,Studio,62345,187035,Semi-furnished,10,5,"Security, Gym, 24x7 Security",1038m from Public Transport,9,"Law Garden, Kankaria Lake"
Mumbai,Powai,2,Villa,56359,281795,Fully Furnished,7,6,"Gym, Swimming Pool, Power Backup, Parking",1123m from Public Transport,7,"Juhu Beach, Gateway of India"
Jaipur,Malviya Nagar,2,Studio,47102,235510,Unfurnished,10,6,"Parking, 24x7 Security",607m from Public Transport,9,"City Palace, Amber Fort"
Delhi,Karol Bagh,3,Studio,20699,124194,Semi-furnished,5,4,"Swimming Pool, 24x7 Security, Gym, Security",305m from Public Transport,9,"Lotus Temple, India Gate"
Mumbai,Borivali,1,Apartment,58670,352020,Fully Furnished,4,9,"24x7 Security, Gym",518m from Public Transport,6,"Gateway of India, Juhu Beach"
Ahmedabad,Navrangpura,1,Studio,35865,179325,Unfurnished,9,9,"Security, Power Backup, Swimming Pool, Gym",1379m from Public Transport,5,"Kankaria Lake, Sabarmati Ashram"
Delhi,Dwarka,1,Studio,29739,118956,Semi-furnished,9,7,"Power Backup, 24x7 Security, Gym",1114m from Public Transport,9,"Lotus Temple, India Gate"
Chennai,Adyar,2,Villa,65487,261948,Fully Furnished,4,8,"Parking, 24x7 Security, Swimming Pool, Power Backup",1382m from Public Transport,9,"Kapaleeshwarar Temple, Vivekananda House"
Ahmedabad,SG Highway,1,Apartment,64990,194970,Unfurnished,9,9,"Swimming Pool, Power Backup, Gym",658m from Public Transport,5,"Kankaria Lake, Law Garden"
Lucknow,Indira Nagar,2,Studio,90059,360236,Semi-furnished,7,8,"Parking, Security, Gym, Power Backup",446m from Public Transport,7,"Hazratganj, Bara Imambara"
Mumbai,Juhu,3,Independent House,28460,85380,Semi-furnished,9,6,"Power Backup, Gym, 24x7 Security",1236m from Public Transport,9,"Marine Drive, Juhu Beach"
Bangalore,Koramangala,3,Independent House,40512,162048,Semi-furnished,9,6,"Parking, Swimming Pool, Power Backup, Security",606m from Public Transport,5,"MG Road, Cubbon Park"
Jaipur,Mansarovar,3,Independent House,84528,507168,Fully Furnished,10,10,"Security, Swimming Pool, Power Backup, 24x7 Security",1169m from Public Transport,8,"Hawa Mahal, City Palace"
Pune,Viman Nagar,2,Villa,38871,233226,Semi-furnished,4,6,"Security, Power Backup",1157m from Public Transport,6,"Shaniwar Wada, Aga Khan Palace"
Chennai,Adyar,4,Independent House,88477,442385,Semi-furnished,7,10,"24x7 Security, Gym, Swimming Pool, Power Backup",1459m from Public Transport,9,"Vivekananda House, Kapaleeshwarar Temple"
Lucknow,Indira Nagar,2,Villa,60742,182226,Semi-furnished,5,8,"Parking, Gym, Power Backup, Security",220m from Public Transport,10,"Bara Imambara, Hazratganj"
Jaipur,Vaishali Nagar,4,Studio,80262,481572,Unfurnished,5,7,"Security, Gym",932m from Public Transport,8,"Hawa Mahal, City Palace"
Delhi,Rohini,1,Independent House,60110,240440,Fully Furnished,9,6,"Parking, Swimming Pool",314m from Public Transport,10,"Qutub Minar, India Gate"
Kolkata,Garia,3,Independent House,18002,72008,Unfurnished,4,6,"Gym, 24x7 Security",1140m from Public Transport,10,"Howrah Bridge, Eden Gardens"
Pune,Koregaon Park,2,Villa,52459,314754,Unfurnished,10,7,"Security, Parking, 24x7 Security, Swimming Pool",1193m from Public Transport,7,"Aga Khan Palace, FC Road"
Jaipur,Malviya Nagar,3,Studio,18216,109296,Semi-furnished,9,9,"Gym, Security",1376m from Public Transport,10,"City Palace, Amber Fort"
Kolkata,Dumdum,3,Studio,99296,595776,Semi-furnished,4,4,"Security, Swimming Pool, 24x7 Security",409m from Public Transport,10,"Howrah Bridge, Victoria Memorial"
Bangalore,Koramangala,4,Independent House,90293,541758,Fully Furnished,9,5,"Power Backup, Security, 24x7 Security",1270m from Public Transport,5,"Cubbon Park, MG Road"
Bangalore,Indiranagar,3,Villa,69666,208998,Unfurnished,6,5,"Security, Parking",1015m from Public Transport,6,"Cubbon Park, Lalbagh"
Mumbai,Borivali,3,Independent House,93966,281898,Fully Furnished,6,7,"Parking, Power Backup, Swimming Pool",1138m from Public Transport,6,"Marine Drive, Juhu Beach"
Delhi,Karol Bagh,4,Apartment,61687,246748,Fully Furnished,8,6,"Gym, 24x7 Security",563m from Public Transport,6,"Qutub Minar, India Gate"
Lucknow,Hazratganj,2,Independent House,19281,115686,Fully Furnished,4,10,"Swimming Pool, Gym, Security",420m from Public Transport,9,"Bara Imambara, Hazratganj"
Lucknow,Aminabad,2,Apartment,32559,97677,Semi-furnished,8,10,"Gym, Swimming Pool, Security",1318m from Public Transport,6,"Bara Imambara, Hazratganj"
Hyderabad,Madhapur,1,Villa,75236,225708,Semi-furnished,7,9,"Swimming Pool, Parking, Security, Gym",1500m from Public Transport,5,"Hussain Sagar, Ramoji Film City"
Pune,Kothrud,4,Studio,86121,430605,Unfurnished,6,9,"Gym, Parking, Swimming Pool, Power Backup",1194m from Public Transport,6,"FC Road, Aga Khan Palace"
Hyderabad,Gachibowli,1,Villa,86419,259257,Fully Furnished,10,5,"Swimming Pool, 24x7 Security, Security",1301m from Public Transport,7,"Ramoji Film City, Hussain Sagar"
Jaipur,Mansarovar,4,Apartment,60644,242576,Fully Furnished,10,4,"Security, 24x7 Security, Power Backup",1194m from Public Transport,6,"Hawa Mahal, City Palace"
Pune,Hinjewadi,2,Independent House,48286,289716,Unfurnished,8,4,"Gym, Parking, Power Backup",1007m from Public Transport,10,"Shaniwar Wada, FC Road"
Bangalore,Whitefield,4,Villa,79097,395485,Unfurnished,5,7,"24x7 Security, Parking, Gym",961m from Public Transport,5,"Lalbagh, MG Road"
Jaipur,Raja Park,3,Independent House,31225,187350,Unfurnished,9,10,"Power Backup, 24x7 Security",1243m from Public Transport,8,"Amber Fort, Hawa Mahal"
Lucknow,Aminabad,2,Villa,28952,173712,Unfurnished,7,7,"Swimming Pool, Power Backup",773m from Public Transport,6,"Ambedkar Park, Bara Imambara"
Chennai,T. Nagar,1,Villa,21928,131568,Fully Furnished,9,9,"Swimming Pool, 24x7 Security, Security, Gym",373m from Public Transport,7,"Vivekananda House, Marina Beach"
Lucknow,Indira Nagar,4,Apartment,93445,560670,Unfurnished,8,9,"Swimming Pool, Gym, Parking",1357m from Public Transport,6,"Bara Imambara, Ambedkar Park"
Mumbai,Andheri,3,Independent House,21902,87608,Fully Furnished,10,4,"Power Backup, Security",1235m from Public Transport,8,"Marine Drive, Juhu Beach"
Kolkata,Salt Lake,3,Studio,44784,268704,Fully Furnished,6,5,"Parking, Power Backup, Gym, 24x7 Security",749m from Public Transport,8,"Victoria Memorial, Howrah Bridge"
Jaipur,Mansarovar,3,Apartment,94702,473510,Unfurnished,10,7,"Swimming Pool, Parking, 24x7 Security",1331m from Public Transport,5,"Amber Fort, City Palace"
Ahmedabad,SG Highway,3,Villa,35982,143928,Fully Furnished,9,10,"Security, Parking, Swimming Pool",807m from Public Transport,5,"Law Garden, Sabarmati Ashram"
Delhi,Saket,2,Studio,83566,334264,Semi-furnished,8,7,"24x7 Security, Gym, Power Backup, Security",589m from Public Transport,8,"India Gate, Lotus Temple"
Chennai,Adyar,3,Apartment,86521,259563,Semi-furnished,6,6,"Power Backup, Parking, Swimming Pool",931m from Public Transport,9,"Kapaleeshwarar Temple, Marina Beach"
Lucknow,Indira Nagar,2,Studio,87012,435060,Fully Furnished,5,5,"Parking, Security",565m from Public Transport,10,"Ambedkar Park, Bara Imambara"
Delhi,Connaught Place,4,Independent House,62264,249056,Semi-furnished,10,7,"Gym, Security, Power Backup, 24x7 Security",668m from Public Transport,6,"Lotus Temple, Qutub Minar"
Chennai,T. Nagar,2,Independent House,77734,388670,Unfurnished,6,10,"Swimming Pool, Security",204m from Public Transport,6,"Vivekananda House, Kapaleeshwarar Temple"
Chennai,Velachery,2,Villa,83567,250701,Semi-furnished,9,5,"Swimming Pool, 24x7 Security",1313m from Public Transport,5,"Kapaleeshwarar Temple, Marina Beach"
Bangalore,HSR Layout,1,Villa,33281,99843,Fully Furnished,6,10,"Parking, Swimming Pool, Security",1046m from Public Transport,10,"Cubbon Park, MG Road"
Delhi,Saket,2,Apartment,37274,186370,Unfurnished,6,10,"Security, Gym, Power Backup, Swimming Pool",438m from Public Transport,9,"India Gate, Lotus Temple"
Lucknow,Indira Nagar,1,Studio,40350,161400,Unfurnished,7,8,"Power Backup, Swimming Pool, Parking, Gym",698m from Public Transport,9,"Bara Imambara, Ambedkar Park"
Delhi,Dwarka,1,Apartment,82206,246618,Fully Furnished,7,6,"Gym, Power Backup, 24x7 Security, Security",1146m from Public Transport,7,"Qutub Minar, India Gate"
Kolkata,Dumdum,1,Villa,35368,141472,Unfurnished,6,5,"24x7 Security, Power Backup",820m from Public Transport,5,"Victoria Memorial, Howrah Bridge"
Bangalore,Koramangala,2,Studio,26942,80826,Unfurnished,5,7,"Power Backup, Parking, 24x7 Security, Security",1087m from Public Transport,10,"Lalbagh, Cubbon Park"
Chennai,Velachery,1,Villa,34031,204186,Unfurnished,10,5,"Power Backup, Swimming Pool",595m from Public Transport,8,"Marina Beach, Kapaleeshwarar Temple"
Chennai,T. Nagar,3,Villa,26867,80601,Fully Furnished,10,9,"Security, Swimming Pool, Gym, Parking",1073m from Public Transport,7,"Vivekananda House, Marina Beach"
Jaipur,C-Scheme,1,Studio,23852,143112,Semi-furnished,8,10,"Parking, 24x7 Security, Power Backup, Swimming Pool",716m from Public Transport,9,"Hawa Mahal, City Palace"
Delhi,Rohini,2,Independent House,48072,240360,Fully Furnished,7,10,"24x7 Security, Swimming Pool, Gym",319m from Public Transport,6,"India Gate, Lotus Temple"
Chennai,Adyar,1,Independent House,75905,455430,Fully Furnished,8,10,"Security, 24x7 Security, Gym, Swimming Pool",229m from Public Transport,8,"Vivekananda House, Marina Beach"
Jaipur,Mansarovar,4,Apartment,49056,147168,Unfurnished,8,9,"24x7 Security, Parking, Gym",197m from Public Transport,9,"Hawa Mahal, City Palace"
Ahmedabad,SG Highway,2,Villa,37326,186630,Fully Furnished,10,9,"Gym, Security, Parking",297m from Public Transport,10,"Sabarmati Ashram, Kankaria Lake"
Pune,Baner,2,Independent House,70392,211176,Semi-furnished,9,6,"Gym, 24x7 Security, Power Backup, Security",372m from Public Transport,10,"FC Road, Aga Khan Palace"
Chennai,OMR,4,Independent House,61203,183609,Semi-furnished,4,7,"Parking, Gym, Power Backup",801m from Public Transport,10,"Kapaleeshwarar Temple, Marina Beach"
Chennai,Velachery,4,Apartment,92265,461325,Semi-furnished,4,4,"24x7 Security, Gym",787m from Public Transport,7,"Marina Beach, Vivekananda House"
Lucknow,Hazratganj,2,Studio,29262,175572,Unfurnished,9,5,"Security, Swimming Pool, Power Backup",899m from Public Transport,5,"Hazratganj, Ambedkar Park"
Pune,Baner,2,Studio,84286,505716,Semi-furnished,6,4,"Gym, Power Backup, Swimming Pool",1447m from Public Transport,7,"Aga Khan Palace, FC Road"
Delhi,Rohini,3,Villa,92048,368192,Fully Furnished,6,9,"Parking, Swimming Pool, Security, Gym",505m from Public Transport,6,"Lotus Temple, Qutub Minar"
Chennai,Anna Nagar,1,Independent House,82068,246204,Semi-furnished,10,7,"Gym, Parking",612m from Public Transport,5,"Vivekananda House, Marina Beach"
Chennai,Velachery,3,Independent House,67385,336925,Semi-furnished,5,9,"Gym, Security, Parking",309m from Public Transport,5,"Marina Beach, Kapaleeshwarar Temple"
Kolkata,Dumdum,2,Studio,98897,494485,Unfurnished,4,7,"Security, Gym, 24x7 Security",293m from Public Transport,8,"Eden Gardens, Victoria Memorial"
Mumbai,Powai,1,Independent House,68703,206109,Fully Furnished,5,5,"Gym, Security, Power Backup",985m from Public Transport,6,"Marine Drive, Gateway of India"
Lucknow,Aliganj,3,Independent House,35646,213876,Semi-furnished,8,10,"Swimming Pool, Power Backup, Gym, Parking",535m from Public Transport,7,"Hazratganj, Bara Imambara"
Mumbai,Andheri,4,Apartment,65796,263184,Unfurnished,5,8,"24x7 Security, Power Backup",1329m from Public Transport,5,"Juhu Beach, Marine Drive"
Hyderabad,Hitech City,3,Studio,69844,209532,Unfurnished,6,7,"Parking, Security, Gym",360m from Public Transport,9,"Charminar, Hussain Sagar"
Bangalore,Indiranagar,1,Villa,92396,461980,Semi-furnished,10,6,"Power Backup, Parking, Security",1202m from Public Transport,6,"Lalbagh, MG Road"
Jaipur,Vaishali Nagar,2,Apartment,48101,240505,Fully Furnished,5,5,"Parking, Security",934m from Public Transport,6,"Hawa Mahal, City Palace"
Mumbai,Bandra,2,Villa,57841,231364,Unfurnished,10,7,"24x7 Security, Parking, Security, Gym",1022m from Public Transport,9,"Gateway of India, Juhu Beach"
Kolkata,Garia,2,Villa,73790,442740,Fully Furnished,4,7,"Power Backup, Security, Swimming Pool",197m from Public Transport,6,"Howrah Bridge, Victoria Memorial"
Chennai,Anna Nagar,4,Studio,16997,67988,Semi-furnished,6,10,"Swimming Pool, Parking, Power Backup",551m from Public Transport,8,"Marina Beach, Kapaleeshwarar Temple"
Kolkata,Garia,1,Apartment,92797,463985,Unfurnished,10,10,"Parking, 24x7 Security, Gym",653m from Public Transport,8,"Eden Gardens, Victoria Memorial"
Kolkata,Howrah,1,Villa,54979,274895,Fully Furnished,10,7,"24x7 Security, Security, Gym",370m from Public Transport,6,"Eden Gardens, Howrah Bridge"
Delhi,Saket,4,Studio,20196,121176,Fully Furnished,7,6,"Swimming Pool, Security",220m from Public Transport,9,"Lotus Temple, India Gate"
Jaipur,Raja Park,2,Independent House,54079,162237,Semi-furnished,7,9,"Parking, Swimming Pool, Security",669m from Public Transport,10,"City Palace, Hawa Mahal"
